trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
83,False,"{'a': 0.01, 'e': 0.44043165450599925}",30,0,-95.35952840293827,"{0: 22, 1: 3, 2: 3, 3: 0, 4: 2}",0
84,False,"{'a': 0.01, 'e': 0.43604928632153556}",20,0,0.8828237645682971,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
85,False,"{'a': 0.01, 'e': 0.43171052342907973}",35,16,-14.424181988092801,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 0}",1
86,False,"{'a': 0.01, 'e': 0.4274149319487267}",25,0,-119.19262678171782,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
87,False,"{'a': 0.01, 'e': 0.4231620823177488}",20,0,-45.48204829165051,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",1
88,False,"{'a': 0.01, 'e': 0.418951549247639}",20,0,-72.48472002703784,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
89,False,"{'a': 0.01, 'e': 0.4147829116815814}",20,0,14.077977806470471,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
90,False,"{'a': 0.01, 'e': 0.4106557527523455}",20,0,-10.005741112535947,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
91,False,"{'a': 0.01, 'e': 0.4065696597405991}",25,0,-22.651850908655156,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
92,False,"{'a': 0.01, 'e': 0.40252422403363597}",20,0,-78.91794380685256,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
93,False,"{'a': 0.01, 'e': 0.39851904108451414}",20,0,-53.45352723914023,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
94,False,"{'a': 0.01, 'e': 0.3945537103716011}",20,0,-73.25403440261475,"{0: 15, 1: 3, 2: 0, 3: 0, 4: 2}",0
95,False,"{'a': 0.01, 'e': 0.3906278353585211}",25,8,-8.799460600539843,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
96,False,"{'a': 0.01, 'e': 0.3867410234545012}",25,0,-56.282017687898566,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
97,False,"{'a': 0.01, 'e': 0.38289288597511206}",20,0,-16.54639519631503,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
98,False,"{'a': 0.01, 'e': 0.37908303810339883}",20,13,-9.937539132555656,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
99,False,"{'a': 0.01, 'e': 0.37531109885139957}",20,0,-52.68095277053577,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
100,False,"{'a': 0.01, 'e': 0.3715766910220457}",25,0,-81.26132500246793,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
101,False,"{'a': 0.01, 'e': 0.36787944117144233}",20,0,-10.593474051017797,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
102,False,"{'a': 0.01, 'e': 0.3642189795715233}",20,0,16.769854744196643,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
103,False,"{'a': 0.01, 'e': 0.3605949401730783}",20,6,-0.34084719425836574,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
104,False,"{'a': 0.01, 'e': 0.3570069605691474}",25,15,-13.255353317673494,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 0}",1
105,False,"{'a': 0.01, 'e': 0.35345468195878016}",35,14,-86.22904740839996,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 2}",1
106,False,"{'a': 0.01, 'e': 0.3499377491111553}",35,8,-3.640372442119434,"{0: 23, 1: 2, 2: 2, 3: 0, 4: 0}",1
107,False,"{'a': 0.01, 'e': 0.3464558103300574}",20,0,3.236731164366093,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
108,False,"{'a': 0.01, 'e': 0.34300851741870664}",20,13,12.203692250812399,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.01, 'e': 0.3395955256449391}",20,9,5.70407676877155,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
